date,market,stock_no,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,foreign_total_buy,foreign_total_sell,foreign_total_net,investment_trust_buy,investment_trust_sell,investment_trust_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,dealer_total_buy,dealer_total_sell,dealer_total_net,overall_net
2025-11-10,TPEX,006201,元大富櫃50,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,0,0,36258,5170,31088,36258,5170,31088,30088
2025-11-10,TPEX,00679B,元大美債20年,14714230,7080000,7634230,0,0,0,14714230,7080000,7634230,0,0,0,1214000,2237000,-1023000,20073000,10313089,9759911,21287000,12550089,8736911,16371141
2025-11-10,TPEX,00687B,國泰20年美債,20539150,7844000,12695150,0,0,0,20539150,7844000,12695150,0,0,0,1006000,120000,886000,21710000,19383898,2326102,22716000,19503898,3212102,15907252
2025-11-10,TPEX,00687C,國泰20年美債+櫃U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,100,-100,-100
2025-11-10,TPEX,00694B,富邦美債1-3,14000,11000,3000,0,0,0,14000,11000,3000,0,0,0,0,0,0,158000,147722,10278,158000,147722,10278,13278
2025-11-10,TPEX,00695B,富邦美債7-10,1000,10000,-9000,0,0,0,1000,10000,-9000,0,0,0,0,0,0,135874,104455,31419,135874,104455,31419,22419
2025-11-10,TPEX,00696B,富邦美債20年,259000,1203000,-944000,0,0,0,259000,1203000,-944000,0,0,0,0,0,0,4674024,3535101,1138923,4674024,3535101,1138923,194923
2025-11-10,TPEX,00697B,元大美債7-10,1000,4000,-3000,0,0,0,1000,4000,-3000,0,0,0,0,0,0,396006,106183,289823,396006,106183,289823,286823
2025-11-10,TPEX,00719B,元大美債1-3,455000,181000,274000,0,0,0,455000,181000,274000,0,0,0,10000,204000,-194000,1671224,69572,1601652,1681224,273572,1407652,1681652
2025-11-10,TPEX,00720B,元大投資級公司債,2854000,3700000,-846000,0,0,0,2854000,3700000,-846000,0,0,0,0,0,0,6353196,2023908,4329288,6353196,2023908,4329288,3483288
2025-11-10,TPEX,00722B,群益投資級電信債,185000,810000,-625000,0,0,0,185000,810000,-625000,0,0,0,0,0,0,5923300,5151250,772050,5923300,5151250,772050,147050
2025-11-10,TPEX,00723B,群益投資級科技債,0,4000,-4000,0,0,0,0,4000,-4000,0,0,0,0,0,0,150010,151020,-1010,150010,151020,-1010,-5010
2025-11-10,TPEX,00724B,群益投資級金融債,157000,2089000,-1932000,0,0,0,157000,2089000,-1932000,0,0,0,0,0,0,5470426,4963251,507175,5470426,4963251,507175,-1424825
2025-11-10,TPEX,00725B,國泰投資級公司債,2587000,2269000,318000,0,0,0,2587000,2269000,318000,0,0,0,0,0,0,3861082,1865077,1996005,3861082,1865077,1996005,2314005
2025-11-10,TPEX,00726B,國泰新興投等債,81000,4000,77000,0,0,0,81000,4000,77000,0,0,0,0,0,0,232269,209575,22694,232269,209575,22694,99694
2025-11-10,TPEX,00727B,國泰優選非投等債,5000,0,5000,0,0,0,5000,0,5000,0,0,0,0,0,0,105246,104613,633,105246,104613,633,5633
2025-11-10,TPEX,00734B,台新JPM新興債,9000,0,9000,0,0,0,9000,0,9000,0,0,0,0,0,0,163000,134000,29000,163000,134000,29000,38000
2025-11-10,TPEX,00740B,富邦全球投等債,52000,412000,-360000,0,0,0,52000,412000,-360000,0,0,0,0,0,0,2311000,2458404,-147404,2311000,2458404,-147404,-507404
2025-11-10,TPEX,00741B,富邦全球非投等債,0,3000,-3000,0,0,0,0,3000,-3000,0,0,0,0,0,0,210000,219412,-9412,210000,219412,-9412,-12412
2025-11-10,TPEX,00746B,富邦A級公司債,0,197000,-197000,0,0,0,0,197000,-197000,0,0,0,0,0,0,412000,226575,185425,412000,226575,185425,-11575
2025-11-10,TPEX,00749B,凱基新興債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,101000,-1000,100000,101000,-1000,-1000
2025-11-10,TPEX,00750B,凱基科技債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,100000,0,100000,100000,0,0
2025-11-10,TPEX,00751B,元大AAA至A公司債,6179050,4929000,1250050,0,0,0,6179050,4929000,1250050,0,0,0,0,0,0,3881517,2466924,1414593,3881517,2466924,1414593,2664643
2025-11-10,TPEX,00754B,群益AAA-AA公司債,0,90000,-90000,0,0,0,0,90000,-90000,0,0,0,0,0,0,101002,110002,-9000,101002,110002,-9000,-99000
2025-11-10,TPEX,00755B,群益投資級公用債,3000,32000,-29000,0,0,0,3000,32000,-29000,0,0,0,0,0,0,136024,100021,36003,136024,100021,36003,7003
2025-11-10,TPEX,00756B,群益投等新興公債,9000,2000,7000,0,0,0,9000,2000,7000,0,0,0,0,0,0,100053,100053,0,100053,100053,0,7000
2025-11-10,TPEX,00758B,復華能源債,0,2000,-2000,0,0,0,0,2000,-2000,0,0,0,0,0,0,100000,100149,-149,100000,100149,-149,-2149
2025-11-10,TPEX,00759B,復華製藥債,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,0,0,100000,100051,-51,100000,100051,-51,-1051
2025-11-10,TPEX,00760B,復華新興企業債,33000,9000,24000,0,0,0,33000,9000,24000,0,0,0,0,0,0,112249,128589,-16340,112249,128589,-16340,7660
2025-11-10,TPEX,00761B,國泰A級公司債,0,116000,-116000,0,0,0,0,116000,-116000,0,0,0,0,0,0,273000,249636,23364,273000,249636,23364,-92636
2025-11-10,TPEX,00764B,群益25年美債,99000,66000,33000,0,0,0,99000,66000,33000,0,0,0,0,0,0,26110815,25211843,898972,26110815,25211843,898972,931972
2025-11-10,TPEX,00768B,復華20年美債,294000,988000,-694000,0,0,0,294000,988000,-694000,0,0,0,0,0,0,5256999,5708242,-451243,5256999,5708242,-451243,-1145243
2025-11-10,TPEX,00772B,中信高評級公司債,55000,947000,-892000,0,0,0,55000,947000,-892000,0,0,0,0,70000,-70000,2150787,734990,1415797,2150787,804990,1345797,453797
2025-11-10,TPEX,00773B,中信優先金融債,51000,255000,-204000,0,0,0,51000,255000,-204000,0,0,0,0,0,0,516904,168090,348814,516904,168090,348814,144814
2025-11-10,TPEX,00777B,凱基AAA至A公司債,0,8000,-8000,0,0,0,0,8000,-8000,0,0,0,0,0,0,100000,102000,-2000,100000,102000,-2000,-10000
2025-11-10,TPEX,00778B,凱基金融債20+,0,2000,-2000,0,0,0,0,2000,-2000,0,0,0,0,0,0,100000,100000,0,100000,100000,0,-2000
2025-11-10,TPEX,00779B,凱基美債25+,2000,0,2000,0,0,0,2000,0,2000,0,0,0,0,0,0,500000,500000,0,500000,500000,0,2000
2025-11-10,TPEX,00780B,國泰A級金融債,5000,12000,-7000,0,0,0,5000,12000,-7000,0,0,0,0,0,0,136000,100226,35774,136000,100226,35774,28774
2025-11-10,TPEX,00781B,國泰A級科技債,0,2000,-2000,0,0,0,0,2000,-2000,0,0,0,0,0,0,103000,106652,-3652,103000,106652,-3652,-5652
