date,market,stock_no,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,foreign_total_buy,foreign_total_sell,foreign_total_net,investment_trust_buy,investment_trust_sell,investment_trust_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,dealer_total_buy,dealer_total_sell,dealer_total_net,overall_net
2025-11-10,TWSE,3715,定穎投控,31742635,10023800,21718835,0,0,0,31742635,10023800,21718835,45000,0,45000,167000,12000,155000,741807,244360,497447,908807,256360,652447,22416282
2025-11-10,TWSE,6770,力積電,69066819,53673492,15393327,0,0,0,69066819,53673492,15393327,8000,16000,-8000,3018284,1982000,1036284,4460644,503711,3956933,7478928,2485711,4993217,20378544
2025-11-10,TWSE,00715L,期街口布蘭特正2,3991000,78000,3913000,0,0,0,3991000,78000,3913000,0,0,0,0,0,0,15451927,2269809,13182118,15451927,2269809,13182118,17095118
2025-11-10,TWSE,00919,群益台灣精選高息,9128507,1271449,7857058,0,0,0,9128507,1271449,7857058,0,0,0,0,0,0,10731968,1844071,8887897,10731968,1844071,8887897,16744955
2025-11-10,TWSE,00753L,中信中國50正2,5092000,1136000,3956000,0,0,0,5092000,1136000,3956000,0,0,0,0,0,0,13162863,474828,12688035,13162863,474828,12688035,16644035
2025-11-10,TWSE,00665L,富邦恒生國企正2,1787000,355000,1432000,0,0,0,1787000,355000,1432000,0,0,0,0,0,0,16410757,2355481,14055276,16410757,2355481,14055276,15487276
2025-11-10,TWSE,2867,三商壽,18193000,3726000,14467000,0,0,0,18193000,3726000,14467000,0,0,0,37000,4000,33000,0,0,0,37000,4000,33000,14500000
2025-11-10,TWSE,2408,南亞科,42407298,33732724,8674574,0,0,0,42407298,33732724,8674574,163000,6000,157000,2345000,185000,2160000,2070007,395735,1674272,4415007,580735,3834272,12665846
2025-11-10,TWSE,3013,晟銘電,14871100,3191300,11679800,0,0,0,14871100,3191300,11679800,141000,0,141000,150994,77000,73994,539343,193681,345662,690337,270681,419656,12240456
2025-11-10,TWSE,00882,中信中國高股息,922000,149000,773000,0,0,0,922000,149000,773000,0,0,0,0,0,0,10844397,142356,10702041,10844397,142356,10702041,11475041
2025-11-10,TWSE,8112,至上,24873400,18137140,6736260,0,0,0,24873400,18137140,6736260,1516000,0,1516000,3490031,1416878,2073153,926053,55365,870688,4416084,1472243,2943841,11196101
2025-11-10,TWSE,2883,凱基金,16665735,8284644,8381091,0,0,0,16665735,8284644,8381091,1400449,400000,1000449,127000,0,127000,422000,0,422000,549000,0,549000,9930540
2025-11-10,TWSE,2633,台灣高鐵,11809000,2476000,9333000,0,0,0,11809000,2476000,9333000,0,10000,-10000,106892,4000,102892,10000,0,10000,116892,4000,112892,9435892
2025-11-10,TWSE,00881,國泰台灣科技龍頭,5669158,210000,5459158,0,0,0,5669158,210000,5459158,0,0,0,650000,0,650000,5017913,2349726,2668187,5667913,2349726,3318187,8777345
2025-11-10,TWSE,00712,復華富時不動產,5615000,1000,5614000,0,0,0,5615000,1000,5614000,0,0,0,0,0,0,5836999,3064790,2772209,5836999,3064790,2772209,8386209
2025-11-10,TWSE,2329,華泰,10308000,2367000,7941000,0,0,0,10308000,2367000,7941000,0,0,0,100245,246000,-145755,413523,13247,400276,513768,259247,254521,8195521
2025-11-10,TWSE,2374,佳能,15400119,7415240,7984879,0,0,0,15400119,7415240,7984879,0,0,0,99491,61643,37848,251951,191695,60256,351442,253338,98104,8082983
2025-11-10,TWSE,6505,台塑化,10485760,3228260,7257500,0,0,0,10485760,3228260,7257500,148260,6000,142260,335000,196000,139000,583870,615526,-31656,918870,811526,107344,7507104
2025-11-10,TWSE,1326,台化,12589269,5233140,7356129,0,0,0,12589269,5233140,7356129,0,17000,-17000,272000,184084,87916,366455,468020,-101565,638455,652104,-13649,7325480
2025-11-10,TWSE,2801,彰銀,12108775,5163814,6944961,0,0,0,12108775,5163814,6944961,0,0,0,143000,0,143000,0,33000,-33000,143000,33000,110000,7054961
2025-11-10,TWSE,6919,康霈*,11122796,4619555,6503241,0,0,0,11122796,4619555,6503241,217,30000,-29783,36000,0,36000,13644,2000,11644,49644,2000,47644,6521102
2025-11-10,TWSE,2834,臺企銀,7659000,1540584,6118416,0,0,0,7659000,1540584,6118416,0,0,0,118000,0,118000,1000,1000,0,119000,1000,118000,6236416
2025-11-10,TWSE,8046,南電,15704045,10277383,5426662,0,0,0,15704045,10277383,5426662,1000,0,1000,359300,546300,-187000,650868,265397,385471,1010168,811697,198471,5626133
2025-11-10,TWSE,00664R,國泰臺灣加權反1,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,-50000,7085000,1563747,5521253,7085000,1613747,5471253,5471253
2025-11-10,TWSE,3711,日月光投控,15129210,11101980,4027230,0,0,0,15129210,11101980,4027230,640389,87000,553389,188000,72053,115947,672477,88021,584456,860477,160074,700403,5281022
2025-11-10,TWSE,1802,台玻,13903000,6918000,6985000,0,0,0,13903000,6918000,6985000,0,1600000,-1600000,695341,767420,-72079,562937,599148,-36211,1258278,1366568,-108290,5276710
2025-11-10,TWSE,2344,華邦電,3028250,2098505,929745,0,0,0,3028250,2098505,929745,0,0,0,2769000,98460,2670540,1455426,12516,1442910,4224426,110976,4113450,5043195
2025-11-10,TWSE,00940,元大台灣價值高息,2187000,3691000,-1504000,0,0,0,2187000,3691000,-1504000,0,0,0,0,0,0,8708000,2193622,6514378,8708000,2193622,6514378,5010378
2025-11-10,TWSE,2891,中信金,14993006,10415856,4577150,0,0,0,14993006,10415856,4577150,925862,539000,386862,149000,224462,-75462,423711,364788,58923,572711,589250,-16539,4947473
2025-11-10,TWSE,1301,台塑,9544809,4543000,5001809,0,0,0,9544809,4543000,5001809,5918,0,5918,97000,34007,62993,420711,553871,-133160,517711,587878,-70167,4937560
